date,month,day,week,time,temp,prev_temp,rh,prev_rh,di,prev_di,prev_load,load
1/1/2016,1,1,5,0,1.1,1,71,70,37.81119,37.50861,1386218.54,1311693.43
1/1/2016 1:00,1,1,5,1,0.9,1.1,71,71,37.50861,37.81119,1311693.43,1240583.19
1/1/2016 2:00,1,1,5,2,0.8,0.9,76,71,36.68192,37.50861,1240583.19,1185502.49
1/1/2016 3:00,1,1,5,3,0.8,0.8,76,76,36.68192,36.68192,1185502.49,1145963.66
1/1/2016 4:00,1,1,5,4,0.7,0.8,77,76,36.38961,36.68192,1145963.66,1123874.26
1/1/2016 5:00,1,1,5,5,0.5,0.7,73,77,36.62735,36.38961,1123874.26,1123363.46
1/1/2016 6:00,1,1,5,6,0.4,0.5,70,73,36.8912,36.62735,1123363.46,1143067.45
1/1/2016 7:00,1,1,5,7,0.3,0.4,71,70,36.60087,36.8912,1143067.45,1203920.4
1/1/2016 8:00,1,1,5,8,0.1,0.3,71,71,36.29829,36.60087,1203920.4,1235552.53
1/1/2016 9:00,1,1,5,9,-1,0.1,88,71,32.0348,36.29829,1235552.53,1309375.47
1/1/2016 10:00,1,1,5,10,-0.8,-1,78,88,33.88024,32.0348,1309375.47,1374002.69
1/1/2016 11:00,1,1,5,11,-0.5,-0.8,70,78,35.5385,33.88024,1374002.69,1443991.74
1/1/2016 12:00,1,1,5,12,-1.4,-0.5,83,70,32.14662,35.5385,1443991.74,1500844.27
1/1/2016 13:00,1,1,5,13,-1.2,-1.4,90,83,31.3888,32.14662,1500844.27,1543874.39
1/1/2016 14:00,1,1,5,14,-1,-1.2,81,90,33.1051,31.3888,1543874.39,1552964.27
1/1/2016 15:00,1,1,5,15,-0.9,-1,75,81,34.17775,33.1051,1552964.27,1534563.68
1/1/2016 16:00,1,1,5,16,-1.3,-0.9,71,75,34.18023,34.17775,1534563.68,1546070.96
1/1/2016 17:00,1,1,5,17,-1.6,-1.3,73,71,33.40868,34.18023,1546070.96,1706244.14
1/1/2016 18:00,1,1,5,18,-1.5,-1.6,74,73,33.4041,33.40868,1706244.14,1723079.91
1/1/2016 19:00,1,1,5,19,-1.6,-1.5,76,74,32.93216,33.4041,1723079.91,1686242.17
1/1/2016 20:00,1,1,5,20,-1.7,-1.6,76,76,32.77592,32.93216,1686242.17,1644676.19
1/1/2016 21:00,1,1,5,21,-1.6,-1.7,75,76,33.091,32.77592,1644676.19,1584934.98
1/1/2016 22:00,1,1,5,22,-1.7,-1.6,77,75,32.61609,33.091,1584934.98,1505729.56
1/1/2016 23:00,1,1,5,23,-1.5,-1.7,67,77,34.50905,32.61609,1505729.56,1397898.83
1/2/2016,1,2,6,0,-2.1,-1.5,72,67,32.80612,34.50905,1397898.83,1296008.18
1/2/2016 1:00,1,2,6,1,-2.3,-2.1,73,72,32.33579,32.80612,1296008.18,1261662.23
