date,month,day,week,time,rain,prevrain,wind,prevwind,ilsa,previlsa,prevpower,power
1/1/2016,1,1,5,0,0,0,0.6,0.6,0,0,0,0
1/1/2016 1:00,1,1,5,1,0,0,0.7,0.6,0,0,0,0
1/1/2016 2:00,1,1,5,2,0,0,0.9,0.7,0,0,0,0
1/1/2016 3:00,1,1,5,3,0,0,0.7,0.9,0,0,0,0
1/1/2016 4:00,1,1,5,4,0,0,0.2,0.7,0,0,0,0
1/1/2016 5:00,1,1,5,5,0,0,0.5,0.2,0,0,0,0
1/1/2016 6:00,1,1,5,6,0,0,1,0.5,0,0,0,0
1/1/2016 7:00,1,1,5,7,0,0,1.1,1,0,0,0,0
1/1/2016 8:00,1,1,5,8,0,0,0.3,1.1,0.01,0,0,2040
1/1/2016 9:00,1,1,5,9,0,0,0.3,0.3,0.53,0.01,2040,96120
1/1/2016 10:00,1,1,5,10,0,0,0.7,0.3,0.8,0.53,96120,150240
1/1/2016 11:00,1,1,5,11,0,0,0.1,0.7,0.81,0.8,150240,154680
1/1/2016 12:00,1,1,5,12,0,0,0.6,0.1,0.57,0.81,154680,186720
1/1/2016 13:00,1,1,5,13,0,0,0.6,0.6,0.62,0.57,186720,336480
1/1/2016 14:00,1,1,5,14,0,0,0.6,0.6,0.64,0.62,336480,385560
1/1/2016 15:00,1,1,5,15,0.4,0,0.5,0.6,0.37,0.64,385560,256920
1/1/2016 16:00,1,1,5,16,0,0.4,0.6,0.5,0.28,0.37,256920,22440
1/1/2016 17:00,1,1,5,17,0,0,0.2,0.6,0.1,0.28,22440,0
1/1/2016 18:00,1,1,5,18,1,0,0.4,0.2,0,0.1,0,0
1/1/2016 19:00,1,1,5,19,0,1,0.1,0.4,0,0,0,0
1/1/2016 20:00,1,1,5,20,0,0,0.3,0.1,0,0,0,0
1/1/2016 21:00,1,1,5,21,0.6,0,0.3,0.3,0,0,0,0
1/1/2016 22:00,1,1,5,22,0,0.6,0.7,0.3,0,0,0,0
1/1/2016 23:00,1,1,5,23,0,0,0.3,0.7,0,0,0,0
1/2/2016,1,2,6,0,0.1,0,0.4,0.3,0,0,0,0
1/2/2016 1:00,1,2,6,1,0,0.1,0.7,0.4,0,0,0,0
